Gitter lines/mm,Distance gitter to surface,n=1,n=2,n=3
300,0.928,0.187,0.4,0.674
300,0.475,0.095,0.2,0.336
600,0.475,0.209,0.66
600,0.9,0.397,1.23
600,0.264,0.12,0.389
300,0.264,0.055,0.115,0.194
